filename,url,error
OAXACA__SANTA_MARIA_LACHIXIO__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Oaxaca/702825313319_s.zip,1.0
OAXACA__SANTA_MARIA_LA_ASUNCION__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Oaxaca/702825313142_s.zip,1.0
OAXACA__SANTA_MARIA_MIXTEQUILLA__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Oaxaca/702825286323_s.zip,1.0
SONORA__ARIZPE__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291075_s.zip,1.0
SONORA__ATIL__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825275471_s.zip,1.0
SONORA__BACANORA__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825275518_s.zip,1.0
SONORA__BACUM__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317607_s.zip,1.0
SONORA__BANAMICHI__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317614_s.zip,1.0
SONORA__BENITO_JUAREZ__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825318062_s.zip,1.0
SONORA__BENJAMIN_HILL__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317645_s.zip,1.0
SONORA__CAJEME__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291198_s.zip,1.0
SONORA__CAJEME__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825317669_s.zip,1.0
SONORA__CANANEA__Rurales__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Sonora/702825291204_s.zip,1.0
SONORA__CARBO__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825275563_s.zip,1.0
SONORA__CUCURPE__Urbanas__.zip,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Sonora/702825275679_s.zip,1.0
