entidad,formatos,municipio,region
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California/702825296858_s.zip,Playas de Rosarito,Urbanas
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California/702825296834_s.zip,Tecate,Urbanas
 Baja California,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California/702825296841_s.zip,Tijuana,Urbanas
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California_Sur/702825272302_s.zip,Comondú,Rurales
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California_Sur/702825272326_s.zip,La Paz,Rurales
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California_Sur/702825272333_s.zip,Los Cabos,Rurales
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Baja_California_Sur/702825272319_s.zip,Mulegé,Rurales
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California_Sur/702825296865_s.zip,Comondú,Urbanas
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California_Sur/702825296889_s.zip,La Paz,Urbanas
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California_Sur/702825296902_s.zip,Loreto,Urbanas
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California_Sur/702825296896_s.zip,Los Cabos,Urbanas
 Baja California Sur,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Baja_California_Sur/702825296872_s.zip,Mulegé,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272449_s.zip,Calakmul,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272357_s.zip,Calkiní,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272364_s.zip,Campeche,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272456_s.zip,Candelaria,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272371_s.zip,Carmen,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272388_s.zip,Champotón,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272432_s.zip,Escárcega,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272401_s.zip,Hopelchén,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Campeche/702825272425_s.zip,Tenabo,Rurales
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825297008_s.zip,Calakmul,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296919_s.zip,Calkiní,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296926_s.zip,Campeche,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825297015_s.zip,Candelaria,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296933_s.zip,Carmen,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296940_s.zip,Champotón,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296995_s.zip,Escárcega,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296957_s.zip,Hecelchakán,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296964_s.zip,Hopelchén,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296971_s.zip,Palizada,Urbanas
 Campeche,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Campeche/702825296988_s.zip,Tenabo,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272463_s.zip,Abasolo,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272470_s.zip,Acuña,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272487_s.zip,Allende,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272494_s.zip,Arteaga,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272517_s.zip,Castaños,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272531_s.zip,Escobedo,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272548_s.zip,Madero,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272555_s.zip,Frontera,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272579_s.zip,Guerrero,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272623_s.zip,Matamoros,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272647_s.zip,Morelos,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272654_s.zip,Múzquiz,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272661_s.zip,Nadadores,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272678_s.zip,Nava,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272685_s.zip,Ocampo,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272708_s.zip,Piedras Negras,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272715_s.zip,Progreso,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272722_s.zip,Ramos Arizpe,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272739_s.zip,Sabinas,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272753_s.zip,Saltillo,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272760_s.zip,San Buenaventura,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272784_s.zip,San Pedro,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272791_s.zip,Sierra Mojada,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272807_s.zip,Torreón,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272814_s.zip,Viesca,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/rural/SHP_2/Coahuila_de_Zaragoza/702825272838_s.zip,Zaragoza,Rurales
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297022_s.zip,Abasolo,Urbanas
 Coahuila de Zaragoza,http://internet.contenidos.inegi.org.mx/contenidos/Productos/prod_serv/contenidos/espanol/bvinegi/productos/geografia/urbana/SHP_2/Coahuila_de_Zaragoza/702825297039_s.zip,Acuña,Urbanas
